,D,P,WD,BC,Weight/grain,boattail,roundtip,cannelure,IV,V
0,0,-1.5,0.0,0.45,120,1,0,0,3050,3050.0
1,100,1.4,0.6,0.45,120,1,0,0,3050,2797.754541907035
2,200,0.0,2.5,0.45,120,1,0,0,3050,2560.1498913570304
3,300,-6.3,5.8,0.45,120,1,0,0,3050,2339.1455603642553
4,400,-18.3,10.6,0.45,120,1,0,0,3050,2136.1820000129646
5,500,-36.9,17.1,0.45,120,1,0,0,3050,1949.934162707802
6,600,-63.2,25.6,0.45,120,1,0,0,3050,1777.5562897020773
7,800,-144.4,49.3,0.45,120,1,0,0,3050,1458.6428618000773
8,1000,-276.0,83.6,0.45,120,1,0,0,3050,1166.5589490022123
9,0,-1.5,0.0,0.465,120,1,0,0,2910,2910.0
10,100,1.6,0.6,0.465,120,1,0,0,2910,2675.9283284153457
11,200,0.0,2.7,0.465,120,1,0,0,2910,2455.424156652858
12,300,-7.1,6.3,0.465,120,1,0,0,2910,2250.4428937574935
13,400,-20.5,11.6,0.465,120,1,0,0,2910,2061.2009566766446
14,500,-41.4,18.9,0.465,120,1,0,0,2910,1885.9365228348483
15,600,-71.1,28.3,0.465,120,1,0,0,2910,1722.1277915518554
16,800,-163.2,54.6,0.465,120,1,0,0,2910,1417.5200900596662
17,1000,-313.8,92.8,0.465,120,1,0,0,2910,1141.443504450608
18,0,-1.5,0.0,0.486,129,1,0,0,2950,2950.0
19,100,1.5,0.6,0.486,129,1,0,0,2950,2721.979485890034
20,200,0.0,2.6,0.486,129,1,0,0,2950,2507.8312155353215
21,300,-6.8,5.9,0.486,129,1,0,0,2950,2309.453743442546
22,400,-19.7,10.9,0.486,129,1,0,0,2950,2126.1357391307833
23,500,-39.7,17.7,0.486,129,1,0,0,2950,1955.5329851771169
24,600,-67.8,26.5,0.486,129,1,0,0,2950,1794.330709394465
25,800,-154.7,51.0,0.486,129,1,0,0,2950,1488.1098423043413
26,1000,-295.5,86.5,0.486,129,1,0,0,2950,1199.764212246403
27,0,-1.5,0.0,0.485,129,1,0,1,2950,2950.0
28,100,1.5,0.6,0.485,129,1,0,1,2950,2721.5897476200903
29,200,0.0,2.6,0.485,129,1,0,1,2950,2507.1428668209214
30,300,-6.8,6.0,0.485,129,1,0,1,2950,2308.4244086768404
31,400,-19.7,11.0,0.485,129,1,0,1,2950,2124.8725756712456
32,500,-39.5,17.8,0.485,129,1,0,1,2950,1954.1024018107394
33,600,-67.8,26.6,0.485,129,1,0,1,2950,1792.7676962075386
