D,P,WD,BC,Weight/grain,boattail,roundtip,cannelure,IV,V
0,-1.5,0,0.45,120,1,0,0,3050,
100,1.4,0.6,0.45,120,1,0,0,3050,
200,0,2.5,0.45,120,1,0,0,3050,
300,-6.3,5.8,0.45,120,1,0,0,3050,
400,-18.3,10.6,0.45,120,1,0,0,3050,
500,-36.9,17.1,0.45,120,1,0,0,3050,
600,-63.2,25.6,0.45,120,1,0,0,3050,
800,-144.4,49.3,0.45,120,1,0,0,3050,
1000,-276,83.6,0.45,120,1,0,0,3050,
0,-1.5,0,0.465,120,1,0,0,2910,
100,1.6,0.6,0.465,120,1,0,0,2910,
200,0,2.7,0.465,120,1,0,0,2910,
300,-7.1,6.3,0.465,120,1,0,0,2910,
400,-20.5,11.6,0.465,120,1,0,0,2910,
500,-41.4,18.9,0.465,120,1,0,0,2910,
600,-71.1,28.3,0.465,120,1,0,0,2910,
800,-163.2,54.6,0.465,120,1,0,0,2910,
1000,-313.8,92.8,0.465,120,1,0,0,2910,
0,-1.5,0,0.486,129,1,0,0,2950,
100,1.5,0.6,0.486,129,1,0,0,2950,
200,0,2.6,0.486,129,1,0,0,2950,
300,-6.8,5.9,0.486,129,1,0,0,2950,
400,-19.7,10.9,0.486,129,1,0,0,2950,
500,-39.7,17.7,0.486,129,1,0,0,2950,
600,-67.8,26.5,0.486,129,1,0,0,2950,
800,-154.7,51,0.486,129,1,0,0,2950,
1000,-295.5,86.5,0.486,129,1,0,0,2950,
0,-1.5,0,0.485,129,1,0,1,2950,
100,1.5,0.6,0.485,129,1,0,1,2950,
200,0,2.6,0.485,129,1,0,1,2950,
300,-6.8,6,0.485,129,1,0,1,2950,
400,-19.7,11,0.485,129,1,0,1,2950,
500,-39.5,17.8,0.485,129,1,0,1,2950,
600,-67.8,26.6,0.485,129,1,0,1,2950,
